Pi-Non BOM,,,,,
S. No.,Name,Link & Shop,Quantity,Price per piece,Total Price W/o Shipping
1,USB Pendrive,Amazon.in,1,"₹1,287.00","₹1,287.00"
2,UPS,Amazon.in,1,"₹1,863.00","₹1,863.00"
3,Pi 4 8gb,Robu.in,1,"₹9,029.00","₹9,029.00"
4,Pi HQ camera,Robu.in,1,"₹6,315.00","₹6,315.00"
5,Micro SD Card,Robu.in,1,"₹1,099.00","₹1,099.00"
6,Cables,Robu.in,1,₹38.00,₹38.00
7,Mx Switch and keycap,I Already have some,0,₹0.00,₹0.00
8,Touchscreen and cooling fan,Alibaba.com,1,"₹1,003.63","₹1,003.63"
9,Lens for hq cam,Alibaba.com,1,"₹3,174.17","₹3,174.17"
10,M2.5x8mm screws,Onlyscrews.in,14,₹2.60,₹36.40
11,M2.5x8mm inserts,Onlyscrews.in,14,₹2.60,₹36.40
,,,,,
,,,,,
,,,,Total,"₹23,881.60"
,,,,Total USD,$262.70
,,,,,this is without shipping btw
